type,question,A,B,C,D,answer
Structure,The book or the pens ______ on the table.,is,am,are,was,A
Structure,Neither the teacher nor the students ______ present in the room.,was,were,has,have,B
Structure,He suggested that she ______ the doctor.,see,sees,saw,seeing,A
Structure,If I had known earlier, I ______ you.,would help,helped,would have helped,will help,C
Structure,They asked me where ______.,I live,I lived,I am living,I has lived,B
Structure,The man ______ here since Monday.,has been,have been,was,were,A
Structure,Hard work and discipline ______ the key to success.,is,are,was,has,A
Structure,One of the boys who ______ in my class ______ absent today.,studies,is study,study,studies,C
Structure,By the time we arrived, the movie ______.,had started,started,was starting,has started,A
Structure,She enjoys ______ books more than watching TV.,reading,read,reads,to read,A
Structure,He was accused of ______ the rules.,break,breaking,broke,broken,B
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Structure,________ did you give the message?,Who,Whom,Whose,What,A
Structure,There is no one here ______ English.,who speak,whom speak,that speaks,which speaks,C
Structure,The car, ______ tire was flat, broke down.,which,whose,where,whom,B
Structure,She bought a dress ______ looked beautiful.,who,whom,that,whose,C
Structure,I still remember the day ______ I first met her.,when,where,why,how,A
Structure,The house ______ we visited was huge.,who,whom,whose,that,D
Structure,He gave me the book ______ he promised.,what,which,that,both B and C,D
Structure,The city ______ he lives in is famous for its museums.,who,whom,whose,which,D
Structure,This is the reason ______ he left early.,why,which,who,whom,A
Structure,She works in a company ______ makes computers.,which,who,whose,whom,A
Structure,He wants to know ______ you are coming.,if,whether,why,all of the above,D
Structure,Please tell me ______ you need help.,if,whether,why,all of the above,D
Structure,He asked me ______ I would go to the party.,if,whether,that,any of the above,D
Structure,She didn’t know ______ he was telling the truth.,if,whether,that,all of the above,D
Structure,They discussed ______ they should invest in stocks.,if,whether,that,all of the above,C
Structure,Do you know ______ this machine works?,how,what,which,whether,A
Structure,Can you explain ______ this function operates?,how,what,which,why,A
Structure,We wonder ______ he didn't come to the meeting.,why,how,what,whether,A
Structure,She asked me ______ it was necessary to attend.,if,whether,that,all of the above,D
Structure,He forgot ______ he put his keys.,where,which,why,how,A
Structure,She asked ______ we could start the meeting early.,if,whether,that,all of the above,D
Structure,They couldn’t decide ______ restaurant to choose.,which,what,how,why,A
Structure,He told me ______ important the task was.,how,what,which,whether,A
Structure,________ you study hard, you will pass the exam.,If,Unless,Although,Because,A
Structure,You will fail the test ______ you study hard.,if,unless,although,because,B
Structure,________ it was raining, we went out.,If,Unless,Although,Because,C
Structure,________ you are tired, you should rest.,Because,Unless,Although,If,A
Structure,She studied all night ______ she could pass the exam.,so that,so,for,because,A
Structure,He ran fast ______ he could catch the bus.,so that,so,for,because,A
Structure,________ he was sick, he went to work.,Although,Unless,Because,If,A
Structure,He stayed home ______ it was snowing heavily.,because,although,unless,so,A
Structure,________ you want to succeed, you must work hard.,If,Unless,Although,Because,A
Structure,________ working hard, he also helps others.,In addition to,Besides,Both A and B,However,C
Structure,________ being smart, she is also very kind.,Besides,In addition to,Both A and B,However,C
Structure,________ the rain, the event continued as planned.,Despite,Although,Even though,All of the above,D
Structure,________ being tired, he finished the project.,Despite,Although,Even though,All of the above,D
Structure,He succeeded ______ many difficulties.,despite,although,even though,all of the above,D
Structure,She continued talking ______ I asked her to stop.,even though,despite,instead of,as if,A
Structure,He acted ______ he knew everything.,like,as if,as though,both B and C,D
Structure,She looked ______ she had seen a ghost.,like,as if,as though,both B and C,D
Structure,He talked ______ he owned the company.,like,as if,as though,both B and C,D
Structure,________ studying law, he decided to become an engineer.,Instead of,In addition to,Besides,Rather than,A
Structure,________ taking the bus, we walked home.,Instead of,In addition to,Besides,Rather than,A
Structure,He prefers tea ______ coffee.,than,to,over,both B and C,D
Structure,She likes cats ______ dogs.,more than,to,over,than,A
Structure,He is taller than ______.,me,I,myself,mine,A
Structure,This is the best movie ______ I have ever seen.,which,that,who,whom,B
Structure,She is one of the girls ______ passed the test.,who,which,whom,that,A
Structure,He is the only one of my friends ______ owns a car.,who,which,that,all of the above,D
Structure,This is the most interesting book ______ I've read.,which,that,who,whom,B
Structure,She is the fastest runner ______ our school.,in,at,on,of,A
Structure,The more you practice, ______ you will improve.,the much,the more,most,much,B
Structure,The sooner we start, ______ we will arrive.,the soonest,the earliest,the sooner,the later,B
Structure,He is not only smart ______ friendly.,but also,but,also,and,A
Structure,She is both talented ______ hardworking.,and,or,not only,but also,A
Structure,He neither spoke ______ smiled during the meeting.,nor,or,not,also,A
Structure,Not only did she sing ______ she danced too.,but also,also,and,both A and C,D
Structure,He both sings ______ plays the guitar.,and,or,nor,not only,B
Structure,She neither eats meat ______ drinks alcohol.,nor,or,also,and,A
Structure,Not only the manager but also the employees ______ responsible.,is,are,was,has,B
Structure,Neither the coach nor the players ______ ready.,is,are,was,has,B
Structure,Either the director or his assistants ______ coming.,is,are,was,has,A
Structure,Both the teacher and the student ______ satisfied.,is,are,was,has,B
Structure,Each of the participants ______ given a certificate.,was,were,has,have,A
Structure,Everyone in the group ______ agreed with the decision.,was,were,has,have,A
Structure,Anyone who ______ late will be penalized.,arrives,arrive,will arrive,has arrived,A
Structure,Several students ______ missing from class yesterday.,was,were,has,have,B
Structure,Most of the cake ______ eaten already.,was,were,has,have,A
Structure,Half of the apples ______ rotten.,was,were,has,have,B
Structure,The number of errors ______ increasing.,was,were,has,have,C
Structure,The majority of the work ______ completed.,was,were,has,have,C
Structure,One third of the population ______ affected by the disease.,was,were,has,have,A
Structure,More than one person ______ injured in the accident.,was,were,has,have,A
Structure,Physics ______ my favorite subject in high school.,was,are,is,has,C
Structure,Politics ______ often a controversial topic.,was,are,is,has,C
Structure,Economics ______ a difficult subject for many students.,was,are,is,has,C
Structure,The news ______ shocking to everyone.,was,are,is,has,C
Structure,Mathematics ______ the language of science.,was,are,is,has,C
Structure,The team ______ arguing about the strategy.,was,are,is,has,B
Structure,The committee ______ discussing the proposal.,was,are,is,has,A
Structure,The public ______ divided on the issue.,was,are,is,has,B
Structure,The audience ______ enjoying the performance.,was,are,is,has,B
Structure,The jury ______ reached a verdict.,has,have,was,are,A
Structure,The police ______ investigating the crime.,has,have,was,are,B
Structure,The staff ______ preparing for the conference.,has,have,was,are,B
Structure,The crew ______ repairing the ship.,has,have,was,are,B
Structure,The faculty ______ discussing curriculum changes.,has,have,was,are,B
Structure,The crowd ______ cheering loudly for the winner.,has,have,was,are,B
Structure,The gang ______ planning their next move.,has,have,was,are,A
Structure,The flock ______ flying south for the winter.,has,have,was,are,A
Structure,John as well as his brothers ______ going to the game tonight.,are,is,was,have,B
Structure,The book or the pens ______ on the table.,is,am,are,was,A
Structure,Neither the teacher nor the students ______ present in the room.,was,were,has,have,B
Structure,He suggested that she ______ the doctor.,see,sees,saw,seeing,A
Structure,If I had known earlier, I ______ you.,would help,helped,would have helped,will help,C
Structure,They asked me where ______.,I live,I lived,I am living,I has lived,B
Structure,The man ______ here since Monday.,has been,have been,was,were,A
Structure,Hard work and discipline ______ the key to success.,is,are,was,has,A
Structure,One of the boys who ______ in my class ______ absent today.,studies,is study,study,studies,C
Structure,By the time we arrived, the movie ______.,had started,started,was starting,has started,A
Structure,She enjoys ______ books more than watching TV.,reading,read,reads,to read,A
Structure,He was accused of ______ the rules.,break,breaking,broke,broken,B
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Structure,________ did you give the message?,Who,Whom,Whose,What,A
Structure,There is no one here ______ English.,who speak,whom speak,that speaks,which speaks,C
Structure,The car, ______ tire was flat, broke down.,which,whose,where,whom,B
Structure,She bought a dress ______ looked beautiful.,who,whom,that,whose,C
Structure,I still remember the day ______ I first met her.,when,where,why,how,A
Structure,The house ______ we visited was huge.,who,whom,whose,that,D
Structure,He gave me the book ______ he promised.,what,which,that,both B and C,D
Structure,The city ______ he lives in is famous for its museums.,who,whom,whose,which,D
Structure,This is the reason ______ he left early.,why,which,who,whom,A
Structure,She works in a company ______ makes computers.,which,who,whose,whom,A
Structure,He wants to know ______ you are coming.,if,whether,why,all of the above,D
Structure,Please tell me ______ you need help.,if,whether,why,all of the above,D
Structure,He asked me ______ I would go to the party.,if,whether,that,any of the above,D
Structure,She didn’t know ______ he was telling the truth.,if,whether,that,all of the above,D
Structure,They discussed ______ they should invest in stocks.,if,whether,that,all of the above,C
Structure,Do you know ______ this machine works?,how,what,which,whether,A
Structure,Can you explain ______ this function operates?,how,what,which,why,A
Structure,We wonder ______ he didn't come to the meeting.,why,how,what,whether,A
Structure,She asked me ______ it was necessary to attend.,if,whether,that,all of the above,D
Structure,He forgot ______ he put his keys.,where,which,why,how,A
Structure,She asked ______ we could start the meeting early.,if,whether,that,all of the above,D
Structure,They couldn’t decide ______ restaurant to choose.,which,what,how,why,A
Structure,He told me ______ important the task was.,how,what,which,whether,A
Structure,________ you study hard, you will pass the exam.,If,Unless,Although,Because,A
Structure,You will fail the test ______ you study hard.,if,unless,although,because,B
Structure,________ it was raining, we went out.,If,Unless,Although,Because,C
Structure,________ you are tired, you should rest.,Because,Unless,Although,If,A
Structure,She studied all night ______ she could pass the exam.,so that,so,for,because,A
Structure,He ran fast ______ he could catch the bus.,so that,so,for,because,A
Structure,________ he was sick, he went to work.,Although,Unless,Because,If,A
Structure,He stayed home ______ it was snowing heavily.,because,although,unless,so,A
Structure,________ you want to succeed, you must work hard.,If,Unless,Although,Because,A
Structure,________ working hard, he also helps others.,In addition to,Besides,Both A and B,However,C
Structure,________ being smart, she is also very kind.,Besides,In addition to,Both A and B,However,C
Structure,________ the rain, the event continued as planned.,Despite,Although,Even though,All of the above,D
Structure,________ being tired, he finished the project.,Despite,Although,Even though,All of the above,D
Structure,He acted ______ he knew everything.,like,as if,as though,both B and C,D
Structure,She looked ______ she had seen a ghost.,like,as if,as though,both B and C,D
Structure,He talked ______ he owned the company.,like,as if,as though,both B and C,D
Structure,________ studying law, he decided to become an engineer.,Instead of,In addition to,Besides,Rather than,A
Structure,________ taking the bus, we walked home.,Instead of,In addition to,Besides,Rather than,A
Structure,He prefers tea ______ coffee.,than,to,over,both B and C,D
Structure,She likes cats ______ dogs.,more than,to,over,than,A
Structure,He is taller than ______.,me,I,myself,mine,A
Structure,This is the best movie ______ I have ever seen.,which,that,who,whom,B
Structure,She is one of the girls ______ passed the test.,who,which,whom,that,A
Structure,He is the only one of my friends ______ owns a car.,who,which,that,all of the above,D
Structure,This is the most interesting book ______ I've read.,which,that,who,whom,B
Structure,She is the fastest runner ______ our school.,in,at,on,of,A
Structure,The more you practice, ______ you will improve.,the much,the more,most,much,B
Structure,The sooner we start, ______ we will arrive.,the soonest,the earliest,the sooner,the later,B
Structure,He is not only smart ______ friendly.,but also,but,also,and,A
Structure,She is both talented ______ hardworking.,and,or,not only,but also,A
Structure,He neither spoke ______ smiled during the meeting.,nor,or,not,also,A
Structure,Not only did she sing ______ she danced too.,but also,also,and,both A and C,D
Structure,He both sings ______ plays the guitar.,and,or,nor,not only,B
Structure,She neither eats meat ______ drinks alcohol.,nor,or,also,and,A
Structure,Not only the manager but also the employees ______ responsible.,is,are,was,has,B
Structure,Neither the coach nor the players ______ ready.,is,are,was,has,B
Structure,Either the director or his assistants ______ coming.,is,are,was,has,A
Structure,Both the teacher and the student ______ satisfied.,is,are,was,has,B
Structure,Each of the participants ______ given a certificate.,was,were,has,have,A
Structure,Everyone in the group ______ agreed with the decision.,was,were,has,have,A
Structure,Anyone who ______ late will be penalized.,arrives,arrive,will arrive,has arrived,A
Structure,Several students ______ missing from class yesterday.,was,were,has,have,B
Structure,Most of the cake ______ eaten already.,was,were,has,have,A
Structure,Half of the apples ______ rotten.,was,were,has,have,B
Structure,The number of errors ______ increasing.,was,were,has,have,C
Structure,The majority of the work ______ completed.,was,were,has,have,C
Structure,One third of the population ______ affected by the disease.,was,were,has,have,A
Structure,More than one person ______ injured in the accident.,was,were,has,have,A
Structure,Physics ______ my favorite subject in high school.,was,are,is,has,C
Structure,Politics ______ often a controversial topic.,was,are,is,has,C
Structure,Economics ______ a difficult subject for many students.,was,are,is,has,C
Structure,The news ______ shocking to everyone.,was,are,is,has,C
Structure,Mathematics ______ the language of science.,was,are,is,has,C
Structure,The team ______ arguing about the strategy.,was,are,is,has,B
Structure,The committee ______ discussing the proposal.,was,are,is,has,A
Structure,The public ______ divided on the issue.,was,are,is,has,B
Structure,The audience ______ enjoying the performance.,was,are,is,has,B
Structure,The jury ______ reached a verdict.,has,have,was,are,A
Structure,The police ______ investigating the crime.,has,have,was,are,B
Structure,The staff ______ preparing for the conference.,has,have,was,are,B
Structure,The crew ______ repairing the ship.,has,have,was,are,B
Structure,The faculty ______ discussing curriculum changes.,has,have,was,are,B
Structure,The crowd ______ cheering loudly for the winner.,has,have,was,are,B
Structure,The gang ______ planning their next move.,has,have,was,are,A
Structure,The flock ______ flying south for the winter.,has,have,was,are,A
